,Event.Id,Accident.Number,Event.Date,Location,Country,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date
62439,20070727X01033,ATL07CA082,2007-04-29,"Fort Meade, MD",United States,Tipton,Non-Fatal,Destroyed,Airplane,N22QT,Flight Design,CTSW,No,1.0,Reciprocating,Instructional,0.0,0.0,1.0,1.0,VMC,Landing,Probable Cause,30-08-2007
62440,20070617X00752,SEA07CA120,2007-04-30,"LIVERMORE, CA",United States,LIVERMORE MUNI,Non-Fatal,Substantial,Airplane,N28BC,Cessna,172R,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,25-07-2007
62441,20070628X00825,LAX07CA146,2007-04-30,"PERRIS, CA",United States,PERRIS VALLEY,Non-Fatal,Substantial,Airplane,N177R,Cessna,177RG,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Cruise,Probable Cause,25-07-2007
62442,20070627X00821,LAX07CA145,2007-04-30,"REDDING, CA",United States,BENTON FIELD,Non-Fatal,Substantial,Airplane,N145RL,Piper,J3C-65,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,25-07-2007
62443,20070529X00646,DFW07CA104,2007-04-30,"BENOIT, MS",United States,Crop Duster Airstrip,Non-Fatal,Substantial,Airplane,N629LA,Air Tractor,AT-602,No,1.0,Turbo Shaft,Aerial Application,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,27-06-2007
62446,20070509X00536,CHI07LA126,2007-05-01,"FRUITPORT, MI",United States,Flying-a-Ranch,Non-Fatal,Substantial,Airplane,N1120B,Luscombe,8A,No,1.0,Reciprocating,Personal,0.0,2.0,0.0,1.0,VMC,Takeoff,Probable Cause,28-10-2011
62447,20070518X00584,CHI07CA128,2007-05-01,"WEST CHICAGO, IL",United States,DuPage Airport,Non-Fatal,Substantial,Airplane,N97224,Cessna,172P,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,27-06-2007
62451,20070817X01196,MIA07CA090,2007-05-02,"LANTANA, FL",United States,PALM BEACH COUNTY PARK,Non-Fatal,Substantial,Airplane,N7273M,Cessna,172R,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,30-08-2007
62455,20070531X00668,NYC07LA107,2007-05-03,"CHERRY POINT, NC",United States,CHERRY POINT MCAS /CUNNINGHAM,Non-Fatal,Substantial,Airplane,N5234A,Grumman,S-2B,No,2.0,Reciprocating,Positioning,0.0,3.0,2.0,1.0,VMC,Approach,Probable Cause,02-11-2016
62458,20070508X00524,LAX07FA150,2007-05-03,"Dillon, MT",United States,Dillon,Fatal(2),Destroyed,Airplane,N22HP,Cessna,S550,No,2.0,Turbo Jet,Personal,2.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,25-11-2008
62459,20070616X00746,SEA07CA122,2007-05-04,"CHILOQUIN, OR",United States,CHILOQUIN STATE,Non-Fatal,Substantial,Airplane,N1394C,Piper,PA-22,No,1.0,Reciprocating,Personal,0.0,1.0,2.0,1.0,VMC,Takeoff,Probable Cause,25-07-2007
62460,20070617X00756,SEA07CA121,2007-05-04,"LOPEZ ISLAND, WA",United States,Private,Non-Fatal,Substantial,Airplane,N609PF,Cessna,180G,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,25-07-2007
62462,20070611X00711,NYC07CA115,2007-05-04,"LAGRANGEVILLE, NY",United States,Private,Non-Fatal,Substantial,Airplane,N1478E,Aeronca,7AC,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,27-06-2007
62463,20070615X00738,NYC07CA112,2007-05-04,"DAYTONA BEACH, FL",United States,Daytona Beach International,Non-Fatal,Substantial,Airplane,N462ER,Cessna,172SP,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,27-06-2007
62464,20070616X00744,NYC07CA108,2007-05-04,"LEESBURG, FL",United States,Leesburg,Non-Fatal,Substantial,Airplane,N809MS,Piper,PA28R-201,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,27-06-2007
62465,20070710X00896,LAX07CA151,2007-05-04,"LAS VEGAS, NV",United States,MC CARRAN INTL,Non-Fatal,Substantial,Airplane,N2834U,Piper,PA-28-181,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,2.0,VMC,Approach,Probable Cause,25-07-2007
62469,20070616X00741,NYC07CA111,2007-05-05,"MONTGOMERY, NY",United States,ORANGE COUNTY,Non-Fatal,Substantial,Airplane,N12152,Cessna,172S,No,1.0,Reciprocating,Instructional,0.0,0.0,1.0,1.0,VMC,Landing,Probable Cause,27-06-2007
62473,20070515X00571,LAX07CA152,2007-05-05,"AUBURN, CA",United States,Auburn Municipal Airport,Non-Fatal,Substantial,Airplane,N97648,Stinson,108,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,27-06-2007
62478,20070617X00753,SEA07CA123,2007-05-06,"SAN JOSE, CA",United States,REID-HILLVIEW OF SANTA CLARA C,Non-Fatal,Substantial,Airplane,N8581W,Piper,PA28-235,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,25-07-2007
62479,20070530X00666,NYC07CA113,2007-05-06,"BESSEMER, AL",United States,Bessemer Airport,Non-Fatal,Substantial,Airplane,N119C,Mooney,M-18L,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,27-06-2007
62480,20070620X00765,NYC07CA110,2007-05-06,"WHITEFIELD, NH",United States,Mount Washington Regional,Non-Fatal,Substantial,Airplane,N1960B,Luscombe,8A,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,27-06-2007
62481,20070525X00635,MIA07CA093,2007-05-06,"RICHMOND, VA",United States,Hanover County Municipal,Non-Fatal,Substantial,Airplane,N33180,Piper,J5A,No,1.0,Reciprocating,Banner Tow,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,27-06-2007
62482,20071029X01684,LAX07CA284,2007-05-06,"SONOMA, CA",United States,Sonoma Skypark Airport,Non-Fatal,Substantial,Airplane,N45316,Cessna,150M,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Landing,Probable Cause,29-11-2007
62484,20070524X00625,LAX07CA171,2007-05-07,"PAYSON, AZ",United States,PAYSON,Non-Fatal,Substantial,Airplane,N533ER,Cessna,172S,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,27-06-2007
62487,20070828X01250,MIA07CA095,2007-05-08,"OXFORD, ME",United States,Oxford County Regional Airport,Non-Fatal,Substantial,Airplane,N80132,Cessna,172-M,No,1.0,Reciprocating,Instructional,0.0,0.0,1.0,1.0,VMC,Go-around,Probable Cause,31-10-2007
62490,20070615X00731,CHI07CA137,2007-05-08,"MASON, MI",United States,Mason Jewett Field Airport,Non-Fatal,Substantial,Airplane,N83228,Aeronca,7AC,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,27-06-2007
62491,20070606X00683,CHI07CA132,2007-05-08,"KENOSHA, WI",United States,KENOSHA REGIONAL,Non-Fatal,Substantial,Airplane,N97464,Cessna,172P,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,27-06-2007
62492,20070531X00667,NYC07CA116,2007-05-09,"ASHEVILLE, NC",United States,ASHEVILLE REGIONAL,Non-Fatal,Substantial,Airplane,N924LP,Cessna,172S,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,27-06-2007
62493,20070828X01251,MIA07CA096,2007-05-09,"FAIRMONT, WV",United States,Fairmount Municipal,Non-Fatal,Substantial,Airplane,N38730,Piper,PA-28-180,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,31-10-2007
62494,20070611X00706,DFW07CA106,2007-05-09,"HOUSTON, TX",United States,Weiser Air Park,Non-Fatal,Substantial,Airplane,N25945,Cessna,152,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Landing,Probable Cause,27-06-2007
62495,20070615X00733,CHI07CA143,2007-05-09,"CINCINNATI, OH",United States,Cincinnati-Blue Ash Airport,Non-Fatal,Substantial,Airplane,N15207,Piper,PA-28R-200,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,27-06-2007
62496,20070606X00687,CHI07CA134,2007-05-09,"SHELBY, OH",United States,SHELBY COMMUNITY,Non-Fatal,Substantial,Airplane,N8469L,Cessna,172I,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Landing,Probable Cause,27-06-2007
62498,20070616X00742,NYC07CA117,2007-05-10,"HOLLYWOOD, FL",United States,NORTH PERRY,Non-Fatal,Substantial,Airplane,N369ES,Cessna,172R,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,27-06-2007
62503,20070621X00774,DFW07CA112,2007-05-10,"AUSTIN, TX",United States,LAKEWAY AIRPARK,Non-Fatal,Substantial,Airplane,N2209C,Cessna,180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Approach,Probable Cause,27-06-2007
62504,20070615X00736,CHI07CA153,2007-05-10,"HARVARD, IL",United States,DACY,Non-Fatal,Substantial,Airplane,N234ME,Cessna,182S,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,27-06-2007
62505,20070606X00686,CHI07CA142,2007-05-10,"PEACHTREE CITY, GA",United States,PEACHTREE CITY-FALCON FIELD,Non-Fatal,Substantial,Airplane,N7757,Canadian Car & Foundry,Harvard MK IV,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,27-06-2007
62509,20070705X00882,LAX07CA159,2007-05-11,"THE DALLES, OR",United States,The Dalles Muni,Non-Fatal,Substantial,Airplane,N66CE,Cessna,T210L,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,25-07-2007
62510,20070705X00881,LAX07CA157,2007-05-11,"MARIPOSA, CA",United States,Mariposa-Yosemite,Non-Fatal,Substantial,Airplane,N2539D,Piper,PA-38-112,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,25-07-2007
62519,20070705X00886,LAX07CA170,2007-05-12,"CARSON CITY, NV",United States,Carson City,Non-Fatal,Substantial,Airplane,N5023A,Cessna,172S,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,11-12-2008
62520,20070705X00885,LAX07CA169,2007-05-12,"ST. GEORGE, UT",United States,ST GEORGE MUNI,Non-Fatal,Substantial,Airplane,N5285H,Cessna,172M,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,25-07-2007
62521,20070628X00830,LAX07CA166,2007-05-12,"QUINCY, CA",United States,Private Pasture,Non-Fatal,Substantial,Airplane,N98041,Piper,J3C-65,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,25-07-2007
62522,20070628X00832,LAX07CA165,2007-05-12,"MOAB, UT",United States,Mineral Canyon Strip Airport,Non-Fatal,Substantial,Airplane,N8598N,Piper,PA-28-140,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Takeoff,Probable Cause,25-07-2007
62523,20070628X00833,LAX07CA164,2007-05-12,"RED LODGE, MT",United States,Red Lodge Airport,Non-Fatal,Substantial,Airplane,N10484,Maule,MXT-7-180A,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,31-03-2008
62524,20070705X00884,LAX07CA162,2007-05-12,"DAYTON, NV",United States,Dayton Valley Airpark,Non-Fatal,Substantial,Airplane,N9274Z,Cessna,R172E,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,25-07-2007
62525,20070705X00883,LAX07CA161,2007-05-12,"GLENDALE, AZ",United States,Glendale Municipal Airport,Non-Fatal,Substantial,Airplane,N85835,Aeronca,11AC,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,25-07-2007
62528,20070622X00781,CHI07CA146,2007-05-12,"LONOKE, AR",United States,Country Air Estates Airport,Non-Fatal,Substantial,Airplane,N42005,Everett,Zodiac 601XL,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Descent,Probable Cause,27-06-2007
62536,20070626X00803,MIA07CA099,2007-05-14,"EMPORIA, VA",United States,Emporia-Greensville Regional,Non-Fatal,Substantial,Airplane,N79941,Cessna,172K,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,25-07-2007
62538,20070617X00751,SEA07CA130,2007-05-15,"MERCED, CA",United States,Merced Municipal Airport,Non-Fatal,Substantial,Airplane,N363AM,Aircraft Mfg & Dev. Co. (amd),CH 2000,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,25-07-2007
62539,20070525X00640,MIA07CA097,2007-05-15,"BYRON, GA",United States,Seaborn Smith,Non-Fatal,Substantial,Airplane,N33116,Piper,J3-C-65,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Takeoff,Probable Cause,27-06-2007
62540,20070606X00685,CHI07CA139,2007-05-15,"ENGLISH, IN",United States,Harden,Non-Fatal,Substantial,Airplane,N7772E,Cessna,150,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,27-06-2007
62541,20070621X00775,DFW07CA115,2007-05-16,"HARRAH, OK",United States,Steciak Strip Airport,Non-Fatal,Substantial,Airplane,N62960,Cessna,172P,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,20-02-2013
62545,20070616X00748,NYC07CA120,2007-05-17,"St Petersburg, FL",United States,Albert Whitted,Non-Fatal,Destroyed,Airplane,N1044M,Maule,MXT-7-180A,No,1.0,Reciprocating,Personal,0.0,1.0,1.0,1.0,VMC,Landing,Probable Cause,27-06-2007
62549,20070616X00743,SEA07CA127,2007-05-18,"RENTON, WA",United States,Renton Municipal,Non-Fatal,Substantial,Airplane,N8045Q,Cessna,A185F,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,25-07-2007
62551,20070615X00734,CHI07CA149,2007-05-18,"WATERFORD, MI",United States,OAKLAND-PONTIAC,Non-Fatal,Substantial,Airplane,N28DR,Piper,J3C,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Takeoff,Probable Cause,27-06-2007
62554,20070901X01290,NYC07CA122,2007-05-19,"MEMPHIS, TN",United States,General Dewitt Spain Airport,Non-Fatal,Substantial,Airplane,N234RX,Hanson Gerald,Hanson Bucker 131E,Yes,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Landing,Probable Cause,31-10-2007
62555,20070626X00804,MIA07CA100,2007-05-19,"FAIRHOPE, AL",United States,H L Sonny Callahan Airport,Non-Fatal,Substantial,Airplane,N985GC,Hillery W. Grice,Alley Cat 1,Yes,1.0,Reciprocating,Air Race/show,0.0,1.0,0.0,1.0,VMC,Maneuvering,Probable Cause,25-07-2007
62556,20070621X00772,DFW07CA117,2007-05-19,"FABENS, TX",United States,FABENS,Non-Fatal,Substantial,Airplane,N3863J,Cessna,A188B,No,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,1.0,VMC,Takeoff,Probable Cause,27-06-2007
62558,20070615X00732,CHI07CA148,2007-05-19,"SCOTLAND, SD",United States,Burke Field Airport,Non-Fatal,Substantial,Airplane,N926LT,Cessna,A188,No,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,27-06-2007
62563,20070626X00800,DFW07CA122,2007-05-20,"TOMBALL, TX",United States,DAVID WAYNE HOOKS MEMORIAL,Non-Fatal,Substantial,Airplane,N188LC,Luciani,RV8,Yes,1.0,Reciprocating,Flight Test,0.0,0.0,2.0,1.0,VMC,Landing,Probable Cause,25-07-2007
62565,20070828X01253,ATL07CA084,2007-05-21,"ARGYLE, NY",United States,ARGYLE,Non-Fatal,Substantial,Helicopter,N636PB,Rotorway,Rotorway INTL 162F,Yes,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,31-10-2007
62571,20070624X00785,NYC07LA125,2007-05-23,"LEESBURG, VA",United States,Leesburg Municipal Airport,Non-Fatal,Substantial,Airplane,N3982S,Cessna,172E,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Cruise,Probable Cause,24-12-2008
62572,20070611X00710,NYC07LA124,2007-05-23,"CHARLESTON, SC",United States,Charleston Executive,Fatal(2),Substantial,Airplane,N55718,Boeing Stearman,A75N1,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,11-06-2009
62574,20070730X01047,LAX07CA174,2007-05-23,"PAHOKEE, FL",United States,PALM BEACH CO GLADES,Non-Fatal,Substantial,Airplane,N5090M,Beech,76,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,30-08-2007
62578,20070626X00806,MIA07CA101,2007-05-24,"CARTHAGE, NC",United States,Moore County Airport,Non-Fatal,Substantial,Airplane,N904MM,Mooney,M20R,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,25-07-2007
62581,20070613X00719,DFW07CA121,2007-05-24,"LUBBOCK, TX",United States,Lubbock Preston Smith Int.,Non-Fatal,Substantial,Airplane,N255ER,Piper,PA-44-180,No,2.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,27-06-2007
62582,20070629X00845,DEN07CA096,2007-05-24,"MANHATTAN, KS",United States,MANHATTAN MUNI,Non-Fatal,Substantial,Airplane,N65685,Cessna,172P,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,25-07-2007
62584,20070718X00959,NYC07CA128,2007-05-25,"NASHUA, NH",United States,Boire Field,Non-Fatal,Substantial,Helicopter,N302CH,Robinson,R22 Beta,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,25-07-2007
62589,20070625X00795,SEA07CA136,2007-05-26,"SPARTANBURG, SC",United States,Spartanburg Downtown Memorial,Non-Fatal,Substantial,Airplane,N613KF,Lidgard,4-1200,Yes,1.0,Reciprocating,Personal,0.0,0.0,2.0,1.0,VMC,Takeoff,Probable Cause,25-07-2007
62590,20070627X00814,NYC07CA127,2007-05-26,"FREEPORT, PA",United States,Allegheny River,Non-Fatal,Substantial,Airplane,N4801W,Wroblewski,Searey,Yes,1.0,Reciprocating,Personal,0.0,0.0,2.0,1.0,VMC,Landing,Probable Cause,25-07-2007
62597,20070614X00729,MIA07LA102,2007-05-27,"HAYDEN, AL",United States,Private,Fatal(1),Substantial,Helicopter,N7763,Bell,47G,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Landing,Probable Cause,28-12-2008
62598,20070807X01130,LAX07CA177,2007-05-27,"YERINGTON, NV",United States,Flying M Ranch,Non-Fatal,Substantial,Helicopter,N526BH,Md Helicopters,500-E,No,1.0,Turbo Shaft,Instructional,0.0,0.0,2.0,1.0,VMC,Landing,Probable Cause,30-08-2007
62600,20070727X01034,ATL07CA085,2007-05-27,"SUMMERVILLE, GA",United States,Wyatt Airport,Non-Fatal,Substantial,Airplane,N955BJ,Robert J. Jackson,RV6-A,Yes,1.0,Reciprocating,Personal,0.0,2.0,0.0,1.0,VMC,Landing,Probable Cause,30-08-2007
62604,20070711X00906,LAX07CA178,2007-05-28,"MAMMOTH LAKES, CA",United States,MAMMOTH LAKES,Non-Fatal,Substantial,Airplane,N6744P,Piper,PA-24-250,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,25-07-2007
62605,20070619X00760,DEN07CA094,2007-05-28,"GRAND JUNCTION, CO",United States,WALKER FIELD,Non-Fatal,Substantial,Airplane,N3408Y,Cessna,180H,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Takeoff,Probable Cause,27-06-2007
62608,20070617X00755,SEA07CA139,2007-05-29,"TORRANCE, CA",United States,Zamperini Field Airport,Non-Fatal,Substantial,Helicopter,N935M,Hughes,369D,No,1.0,Turbo Shaft,Personal,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,25-07-2007
62609,20070703X00853,MIA07CA103,2007-05-29,"LAS PIEDRAS, PR",United States,Boqueron,Non-Fatal,Substantial,Helicopter,N63HD,Hughes,269A,No,1.0,Reciprocating,Personal,0.0,1.0,1.0,1.0,VMC,Climb,Probable Cause,25-07-2007
62610,20070621X00769,DFW07CA123,2007-05-29,"BANQUETE, TX",United States,CORPUS CHRISTI INTL,Non-Fatal,Substantial,Airplane,N502DB,Air Tractor Inc,AT-502B,No,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,27-06-2007
62612,20070828X01260,MIA07CA104,2007-05-30,"PAHOKEE, FL",United States,Palm Beach County Glades,Non-Fatal,Substantial,Airplane,N1767D,Cessna,170B,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,31-10-2007
62619,20070628X00840,DFW07CA128,2007-06-01,"CONROE, TX",United States,Lone Star Executive Airport,Non-Fatal,Substantial,Airplane,N985JD,Doggett Jack,Samson,Yes,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,25-07-2007
62621,20070710X00897,LAX07CA183,2007-06-01,"DENTON, MT",United States,Denton Airport,Non-Fatal,Substantial,Airplane,N9RB,Cessna,210F,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,25-07-2007
62622,20070705X00888,LAX07CA181,2007-06-01,"ATWATER, CA",United States,"McCready-Merced, CA",Non-Fatal,Substantial,Airplane,N86698,Dutton,Air Camper,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,25-07-2007
62623,20070628X00841,DFW07CA126,2007-06-01,"SEABROOK, TX",United States,ALVIN AIRPARK,Non-Fatal,Substantial,Airplane,N61R,Gray Jack,Tean Rocket F1,Yes,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Cruise,Probable Cause,25-07-2007
62626,20070705X00889,LAX07CA182,2007-06-01,"Chandler, AZ",United States,Stellar Airpark,Non-Fatal,Destroyed,Airplane,N8688K,Cessna,340A,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,25-07-2007
62629,20070628X00823,NYC07CA139,2007-06-02,"SMITHFIELD, NC",United States,Johnston County Airport,Non-Fatal,Substantial,Airplane,N9910A,Cessna,170A,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,25-07-2007
62630,20070624X00784,NYC07CA131,2007-06-02,"RALEIGH-DURHAM, NC",United States,Raleigh-Durham International,Non-Fatal,Substantial,Airplane,N2298W,Cessna,172S,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,27-06-2007
62632,20070723X00974,DFW07LA158,2007-06-02,"ROCKPORT, TX",United States,Aransas County Airport,Non-Fatal,Substantial,Airplane,N4977S,Piper,PA-28R-200,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,10-09-2015
62633,20070626X00802,DFW07CA127,2007-06-02,"CHENEYVILLE, LA",United States,ALEXANDRIA INTL,Non-Fatal,Substantial,Airplane,N3356R,Cessna,182L,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Climb,Probable Cause,25-07-2007
62634,20070710X00898,LAX07CA185,2007-06-02,"Wendover, UT",United States,Wendover Airport,Non-Fatal,Destroyed,Airplane,N65755,Cessna,172S,No,1.0,Reciprocating,Personal,0.0,0.0,3.0,1.0,VMC,Landing,Probable Cause,25-07-2007
62635,20070626X00808,DFW07CA125,2007-06-02,"Happy, TX",United States,McNeill Ranch Airport,Non-Fatal,Destroyed,Airplane,N53377,Cessna,A188B,No,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,1.0,VMC,Maneuvering,Probable Cause,25-07-2007
62639,20070712X00925,SEA07CA150,2007-06-03,"AURORA, OR",United States,Aurora State Airport,Non-Fatal,Substantial,Airplane,N58518,Cessna,182P,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,30-08-2007
62640,20070712X00926,SEA07CA143,2007-06-03,"CONCORD, CA",United States,Concord,Non-Fatal,Substantial,Helicopter,N623MB,Calstar 1,Eurocopter BO-105S,No,2.0,Turbo Shaft,Other Work Use,0.0,0.0,0.0,3.0,VMC,Maneuvering,Probable Cause,30-08-2007
62641,20070710X00899,LAX07CA187,2007-06-03,"Winston, MT",United States,Townsend,Non-Fatal,Destroyed,Airplane,N246AM,Aviat,Husky A1-B,No,1.0,Reciprocating,Instructional,0.0,2.0,0.0,1.0,VMC,Maneuvering,Probable Cause,25-07-2007
62644,20070712X00927,SEA07CA144,2007-06-04,"CORONA, CA",United States,CORONA MUNI,Non-Fatal,Substantial,Airplane,N45BH,Billings/humbyrd,Thorpe T-18,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,30-08-2007
62649,20070712X00930,SEA07CA146,2007-06-05,"BAKERSFIELD, CA",United States,Meadows Field,Non-Fatal,Substantial,Airplane,N6973N,Cessna,T210N,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,30-08-2007
62651,20070726X01020,CHI07CA163,2007-06-05,"WALNUT RIDGE, AR",United States,Private Airstrip,Non-Fatal,Substantial,Airplane,N3627B,Schweizer,G-164B,No,1.0,Turbo Prop,Aerial Application,0.0,0.0,1.0,1.0,VMC,Landing,Probable Cause,30-08-2007
62652,20070618X00758,CHI07CA161,2007-06-05,"MC CLUSKY, ND",United States,Mc Clusky Municipal Airport,Non-Fatal,Substantial,Airplane,N1246W,Weatherly,201C,No,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,27-06-2007
62656,20070626X00810,DFW07CA129,2007-06-06,"SAYRE, OK",United States,Sayre Municipal Airport,Non-Fatal,Substantial,Airplane,N4673,Grumman,G-164A,No,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,25-07-2007
62659,20070808X01138,NYC07CA133,2007-06-07,"LUMBERTON, NJ",United States,Flying W Airport,Non-Fatal,Substantial,Airplane,N2173S,Piper,PA-44-180,No,2.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,30-08-2007
